step,pos_x,pos_y,action_0,action_1
0,5.0,0.0,"(0.0, 0.0)","[np.float64(1.0515737759690812e-05), np.float64(0.0)]"
1,5.006775379180908,3.341301280102016e-08,"[np.float64(3.0791139554241444e-05), np.float64(0.0)]","[np.float64(1.3944588411416604e-05), np.float64(0.0)]"
2,5.006799221038818,2.8383936978571e-08,"[np.float64(4.711663866442278e-05), np.float64(0.0)]","[np.float64(4.0650568796280826e-05), np.float64(0.0)]"
3,5.0068230628967285,2.7075541808585513e-08,"[np.float64(8.102622988050148e-05), np.float64(0.0)]","[np.float64(9.21248837592783e-05), np.float64(0.0)]"
4,5.006846904754639,2.3467521259590285e-08,"[np.float64(7.609009351780556e-05), np.float64(0.0)]","[np.float64(6.225140791915162e-05), np.float64(0.0)]"
5,5.006870746612549,2.563468015637227e-08,"[np.float64(8.152185464478517e-05), np.float64(0.0)]","[np.float64(4.285806594188748e-05), np.float64(0.0)]"
6,5.006894588470459,2.20369731351866e-08,"[np.float64(1.8367333734979053e-05), np.float64(0.0)]","[np.float64(9.43545964293519e-05), np.float64(0.0)]"
7,5.006918430328369,3.991289077021065e-08,"[np.float64(5.497312835643774e-05), np.float64(0.0)]","[np.float64(9.250887088763896e-05), np.float64(0.0)]"
8,5.006942272186279,5.5252172614927986e-08,"[np.float64(4.5690709336923093e-05), np.float64(0.0)]","[np.float64(3.58393256827888e-06), np.float64(0.0)]"
9,5.0069661140441895,6.669526442237839e-08,"[np.float64(4.845875053444729e-05), np.float64(0.0)]","[np.float64(9.285007563902305e-05), np.float64(0.0)]"
10,5.0069899559021,6.429291232734613e-08,"[np.float64(4.383620789268853e-05), np.float64(0.0)]","[np.float64(1.8841834619964914e-06), np.float64(0.0)]"
11,5.00701379776001,6.182926881592721e-08,"[np.float64(9.006762365640131e-06), np.float64(0.0)]","[np.float64(6.173170610207183e-05), np.float64(0.0)]"
12,5.00703763961792,5.610308662085117e-08,"[np.float64(2.8129427920226433e-06), np.float64(0.0)]","[np.float64(7.372781938555206e-05), np.float64(0.0)]"
13,5.00706148147583,5.583313011925384e-08,"[np.float64(8.140511820854889e-05), np.float64(0.0)]","[np.float64(4.823482881420348e-05), np.float64(0.0)]"
14,5.00708532333374,5.1378275855995525e-08,"[np.float64(3.2588783616371255e-05), np.float64(0.0)]","[np.float64(7.13741105259244e-05), np.float64(0.0)]"
15,5.00710916519165,5.810119674265479e-08,"[np.float64(1.1382577417298534e-05), np.float64(0.0)]","[np.float64(5.0863751804157276e-05), np.float64(0.0)]"
16,5.0071330070495605,5.273909664538223e-08,"[np.float64(4.20016089511337e-06), np.float64(0.0)]","[np.float64(6.994717105667711e-05), np.float64(0.0)]"
17,5.007156848907471,5.0872127843604176e-08,"[np.float64(3.934592939179956e-05), np.float64(0.0)]","[np.float64(4.640807263873804e-05), np.float64(0.0)]"
18,5.007180690765381,3.9363968085126544e-08,"[np.float64(4.1451732984453285e-05), np.float64(0.0)]","[np.float64(2.9598726931908525e-05), np.float64(0.0)]"
19,5.007204532623291,3.51818130184256e-08,"[np.float64(6.973431318162119e-05), np.float64(0.0)]","[np.float64(7.91945202526841e-05), np.float64(0.0)]"
20,5.007228374481201,3.417714111719761e-08,"[np.float64(2.72096178061898e-08), np.float64(0.0)]","[np.float64(4.370949823430373e-05), np.float64(0.0)]"
21,5.007252216339111,4.395810293544855e-08,"[np.float64(1.253756468285706e-05), np.float64(0.0)]","[np.float64(6.927578636839819e-05), np.float64(0.0)]"
22,5.0072760581970215,6.561248966363564e-08,"[np.float64(2.686451822397069e-05), np.float64(0.0)]","[np.float64(2.7130089352473607e-05), np.float64(0.0)]"
23,5.007299900054932,4.8406263886136e-08,"[np.float64(6.515399380483833e-05), np.float64(0.0)]","[np.float64(3.972264554591247e-05), np.float64(0.0)]"
24,5.007323741912842,4.8566139554395704e-08,"[np.float64(4.7418045410696395e-05), np.float64(0.0)]","[np.float64(9.720330976122344e-05), np.float64(0.0)]"
25,5.007347583770752,6.689784726177095e-08,"[np.float64(6.736459304806512e-05), np.float64(0.0)]","[np.float64(8.78248563484338e-05), np.float64(0.0)]"
26,5.007371425628662,8.740479984226113e-08,"[np.float64(3.760393484560856e-05), np.float64(0.0)]","[np.float64(4.1963550556201456e-05), np.float64(0.0)]"
27,5.007395267486572,7.374313781838282e-08,"[np.float64(3.911468728878437e-05), np.float64(0.0)]","[np.float64(6.779119443868999e-05), np.float64(0.0)]"
28,5.007419109344482,9.563754588270967e-08,"[np.float64(8.561680271249833e-05), np.float64(0.0)]","[np.float64(2.4616378729828138e-05), np.float64(0.0)]"
29,5.007442951202393,9.123822763967837e-08,"[np.float64(9.32704834622338e-05), np.float64(0.0)]","[np.float64(6.319450039343625e-05), np.float64(0.0)]"
30,5.007466793060303,8.457899269842528e-08,"[np.float64(1.1288240671211248e-05), np.float64(0.0)]","[np.float64(9.385502369043468e-05), np.float64(0.0)]"
31,5.007490634918213,8.756960312439332e-08,"[np.float64(3.0213454966528743e-05), np.float64(0.0)]","[np.float64(8.765057064251178e-05), np.float64(0.0)]"
32,5.041426658630371,0.0002591180382296443,"[np.float64(0.04007266642454897), np.float64(0.4)]","[np.float64(0.08013771605924341), np.float64(0.5)]"
33,6.3386969566345215,0.08165443688631058,"[np.float64(1.4727061039092571e-05), np.float64(1.0)]","[np.float64(-0.24989214946323718), np.float64(1.0)]"
34,10.374722480773926,0.12008436024188995,"[np.float64(4.738788298538626e-05), np.float64(1.0)]","[np.float64(4.7927315902773006e-05), np.float64(1.0)]"
35,17.233125686645508,0.15629568696022034,"[np.float64(1.7258467871167417e-05), np.float64(1.0)]","[np.float64(6.979619280896121e-05), np.float64(1.0)]"
36,26.914710998535156,0.08745715767145157,"[np.float64(6.78040126147282e-05), np.float64(1.0)]","[np.float64(0.04015179985590794), np.float64(1.0)]"
37,39.27974319458008,1.0118651390075684,"[np.float64(4.9426025348947324e-05), np.float64(1.0)]","[np.float64(8.079133802687791e-05), np.float64(1.0)]"
38,54.2919921875,2.1585450172424316,"[np.float64(6.188451758520153e-06), np.float64(1.0)]","[np.float64(-0.2499323646702629), np.float64(1.0)]"
39,71.90125274658203,2.617615222930908,"[np.float64(5.124474014500451e-05), np.float64(1.0)]","[np.float64(5.874666217632396e-05), np.float64(1.0)]"
